fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.94286,0.01099,0.00999,0.937,0.00051,3.16576,0.70803,7.465,0.5168,1.45095,0.01397,0.7008,0.39084,0.0,0.0991,0.51792,0.0,0.0,0.0,0.49103,0.0,1.0,0.0,0.0
0.94643,0.01139,0.00996,0.84607,0.00053,3.25967,0.64919,7.54959,0.62251,1.36457,0.01189,0.64801,0.22289,0.0,0.12273,0.47501,0.0,0.0,0.0,0.4876,0.0,1.0,0.0,0.0
0.94286,0.01159,0.01029,0.90344,0.00049,3.01197,0.63395,7.64947,0.62251,1.41681,0.013,0.69034,0.39859,0.0,0.09961,0.47355,0.0,0.0,0.0,0.48745,0.0,0.98546,0.0,0.0
0.94286,0.01029,0.00957,0.85093,0.00037,3.10943,0.79482,6.00741,0.51562,1.46659,0.01599,0.61177,0.39552,0.0,0.11398,0.51283,0.0,0.0,0.0,0.63139,0.0,0.77476,0.0,0.0
0.94643,0.00994,0.0112,0.93244,0.00049,3.02806,0.73443,5.86383,0.48385,1.73044,0.01121,0.82973,0.37651,0.0,0.11175,0.56624,0.0,0.0,0.0,0.566,0.0,1.0,0.0,0.0
0.94643,0.01154,0.00988,0.87042,0.00037,2.96804,0.70814,6.67803,0.5,1.40779,0.01651,0.61177,0.37852,0.0,0.11259,0.48177,0.0,0.0,0.0,0.66972,0.0,0.76228,0.0,0.0
0.95357,0.01034,0.00888,0.92892,0.00051,2.11699,0.77248,7.65825,0.5168,1.52132,0.01211,0.71639,0.37247,0.0,0.10322,0.49709,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.94286,0.01095,0.00914,0.9457,0.0005,2.75592,0.77481,6.52193,0.42928,1.50561,0.01367,0.85789,0.37172,0.0,0.09865,0.49731,0.0,0.0,0.0,0.48926,0.0,0.93888,0.0,0.0
0.94286,0.01067,0.01222,0.98,0.00051,2.0138,0.62797,8.37405,0.36854,1.18603,0.01145,0.73116,0.38215,0.0,0.10322,0.64353,0.0,0.0,0.0,0.71709,0.0,1.0,0.0,0.0
0.94286,0.01029,0.00869,0.90155,0.00058,2.05552,0.72475,5.77983,0.45421,1.19253,0.01496,0.7,0.31564,0.0,0.10782,0.49731,0.0,0.0,0.0,0.50961,0.0,0.96299,0.0,0.0
0.94286,0.01034,0.00904,0.90756,0.00058,2.2576,0.8251,7.75008,0.46142,1.51658,0.01136,0.74844,0.3386,0.0,0.10322,0.5689,0.0,0.0,0.0,0.53283,0.0,0.81453,0.0,0.0
0.95714,0.0088,0.00976,0.91088,0.00057,2.11699,0.7615,7.83212,0.51703,1.52132,0.01098,0.69529,0.37247,0.0,0.10322,0.47998,0.0,0.0,0.0,0.55192,0.0,1.0,0.0,0.0
0.94286,0.01142,0.01109,0.89137,0.00037,1.85744,0.72562,7.47253,0.52899,1.11207,0.00985,0.68902,0.46567,0.0,0.10851,0.57618,0.0,0.0,0.0,0.55192,0.0,0.88649,0.0,0.0
0.94286,0.0091,0.00999,0.937,0.00051,3.02806,0.85681,7.75922,0.49281,1.52132,0.0172,0.63698,0.39084,0.0,0.08591,0.4468,0.0,0.0,0.0,0.48926,0.0,0.95721,0.0,0.0
0.93929,0.01029,0.00999,0.93741,0.00054,3.02806,0.78014,7.0983,0.48289,1.52132,0.01563,0.69584,0.3894,0.0,0.09559,0.50044,0.0,0.0,0.0,0.48319,0.0,1.0,0.0,0.0
0.93929,0.01029,0.00618,0.98,0.00068,3.02806,0.68892,7.05812,0.47573,1.82799,0.02076,0.86563,0.39084,0.0,0.121,0.14919,0.0,0.0,0.0,0.63383,0.0,1.0,0.0,0.0
0.94286,0.01145,0.01085,0.937,0.00065,2.9959,0.77751,7.43946,0.52912,1.31702,0.01429,0.9,0.38226,0.0,0.11571,0.43827,0.0,0.0,0.0,0.51124,0.0,1.0,0.0,0.0
0.94286,0.01151,0.01038,0.90633,0.00048,3.01565,0.62887,7.67894,0.62093,1.4328,0.01311,0.69422,0.3965,0.0,0.09944,0.48112,0.0,0.0,0.0,0.49074,0.0,0.99309,0.0,0.0
0.93929,0.01127,0.00968,0.96342,0.00045,3.01159,0.83269,7.0983,0.54503,1.49392,0.01684,0.68258,0.4159,0.0,0.09445,0.49731,0.0,0.0,0.0,0.50742,0.0,1.0,0.0,0.0
0.93214,0.01241,0.00886,0.937,0.00051,2.92539,0.80988,7.0983,0.416,1.73437,0.01822,0.85242,0.39084,0.0,0.0947,0.61222,0.0,0.0,0.0,0.4327,0.0,0.9855,0.0,0.0
0.94643,0.0102,0.00905,0.9165,0.00049,3.02806,0.87115,7.11172,0.5168,1.56265,0.01438,0.7,0.43154,0.0,0.1011,0.473,0.0,0.0,0.0,0.49029,0.0,1.0,0.0,0.0
0.95,0.01258,0.01184,0.90633,0.00058,3.02806,0.4954,10.12065,0.74131,1.41681,0.01571,0.53144,0.44856,0.0,0.1011,0.48979,0.0,0.0,0.0,0.52606,0.0,1.0,0.0,0.0
0.93214,0.01011,0.00992,0.8866,0.00052,3.79685,0.77061,6.08464,0.45131,1.44645,0.01498,0.71979,0.39084,0.0,0.11524,0.51837,0.0,0.0,0.0,0.46806,0.0,1.0,0.0,0.0
0.93571,0.00998,0.01038,0.90633,0.00052,2.51493,0.64334,7.42001,0.62251,1.73881,0.01501,0.58338,0.41019,0.0,0.10752,0.47501,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.94643,0.00713,0.00967,0.82507,0.00059,2.11699,0.79794,6.82162,0.51703,1.4487,0.01044,0.64267,0.41802,0.0,0.1184,0.46914,0.0,0.0,0.0,0.58507,0.0,1.0,0.0,0.0
0.95,0.00818,0.00976,0.8651,0.00041,2.11699,0.68034,10.05341,0.47699,1.52132,0.01102,0.65694,0.37247,0.0,0.1057,0.46644,0.0,0.0,0.0,0.6163,0.0,1.0,0.0,0.0
0.93929,0.01115,0.0096,0.92209,0.00049,3.06112,0.72345,6.7493,0.5168,1.38963,0.01442,0.76916,0.40649,0.0,0.09525,0.54432,0.0,0.0,0.0,0.53865,0.0,1.0,0.0,0.0
0.94286,0.00909,0.00826,0.85566,0.00051,2.27671,0.56523,7.0983,0.59864,1.52739,0.01852,0.83749,0.35149,0.0,0.10701,0.49731,0.0,0.0,0.0,0.48971,0.0,0.63536,0.0,0.0
0.93571,0.01142,0.0101,0.90633,0.00049,2.96388,0.62838,7.67507,0.62746,1.45146,0.01356,0.69145,0.38969,0.0,0.10198,0.48378,0.0,0.0,0.0,0.46732,0.0,1.0,0.0,0.0
0.93929,0.00929,0.01032,0.92886,0.00044,2.50015,0.86894,7.0983,0.5168,1.45266,0.01738,0.61341,0.39962,0.0,0.1011,0.40321,0.0,0.0,0.0,0.5307,0.0,0.93939,0.0,0.0
0.95,0.00826,0.00875,0.81649,0.00058,1.76024,0.76399,6.225,0.53878,1.52132,0.01188,0.5247,0.35584,0.0,0.10322,0.55703,0.0,0.0,0.0,0.55192,0.0,0.97058,0.0,0.0
0.94286,0.01031,0.00993,0.9357,0.00051,3.02806,0.78008,7.17391,0.51517,1.53438,0.01505,0.70146,0.3918,0.0,0.10181,0.49731,0.0,0.0,0.0,0.48834,0.0,0.99674,0.0,0.0
0.93571,0.01152,0.01038,0.93143,0.00036,2.32676,0.63316,8.04123,0.72153,1.23777,0.01245,0.65624,0.41221,0.0,0.1011,0.53615,0.0,0.0,0.0,0.44352,0.0,0.85898,0.0,0.0
0.95714,0.01004,0.01098,0.91184,0.00051,3.51382,0.83597,7.82399,0.5593,1.33002,0.01417,0.6996,0.43602,0.0,0.10553,0.49731,0.0,0.0,0.0,0.42924,0.0,1.0,0.0,0.0
0.94286,0.0114,0.01021,0.90632,0.00049,3.03544,0.63102,7.67894,0.61583,1.41681,0.01343,0.6945,0.39683,0.0,0.1011,0.47298,0.0,0.0,0.0,0.48732,0.0,1.0,0.0,0.0
0.94643,0.01008,0.01147,0.91184,0.00046,3.51382,0.68053,9.12449,0.6995,1.1523,0.01697,0.6996,0.52893,0.0,0.10946,0.44954,0.0,0.0,0.0,0.36237,0.0,0.97048,0.0,0.0
0.94643,0.00887,0.00523,0.91088,0.00058,2.11699,0.95,7.41135,0.50733,1.44293,0.01393,0.69529,0.37247,0.0,0.09214,0.45854,0.0,0.0,0.0,0.63006,0.0,0.88041,0.0,0.0
0.93929,0.01139,0.01041,0.90623,0.00049,3.02806,0.61844,7.67303,0.60222,1.42559,0.01331,0.68947,0.40265,0.0,0.1011,0.47501,0.0,0.0,0.0,0.49684,0.0,0.96374,0.0,0.0
0.94643,0.01004,0.00867,0.9321,0.00054,3.0292,0.93802,7.85954,0.5593,1.49086,0.01135,0.58194,0.51476,0.0,0.09749,0.5179,0.0,0.0,0.0,0.42279,0.0,1.0,0.0,0.0
0.94286,0.00884,0.00995,0.92089,0.00055,2.03855,0.73612,7.93919,0.51409,1.51369,0.01098,0.72917,0.37082,0.0,0.10205,0.4816,0.0,0.0,0.0,0.56242,0.0,1.0,0.0,0.0
0.93214,0.01029,0.01028,0.9461,0.00048,3.02589,0.78014,7.09744,0.5168,1.52499,0.01563,0.7,0.40572,0.0,0.10079,0.52012,0.0,0.0,0.0,0.47543,0.0,0.94908,0.0,0.0
0.95357,0.00782,0.0106,0.89649,0.0007,1.97796,0.7615,8.77448,0.50257,1.40657,0.01109,0.67544,0.40926,0.0,0.10322,0.46502,0.0,0.0,0.0,0.58465,0.0,0.97854,0.0,0.0
0.95,0.00828,0.00935,0.91088,0.00058,2.28184,0.74227,7.89426,0.54538,1.49062,0.01139,0.68164,0.37542,0.0,0.10128,0.49042,0.0,0.0,0.0,0.55192,0.0,0.95897,0.0,0.0
0.94643,0.00984,0.00976,0.92695,0.00057,1.7276,0.7615,7.24987,0.33864,1.45192,0.01098,0.58746,0.41006,0.0,0.09608,0.4489,0.0,0.0,0.0,0.4805,0.0,0.89941,0.0,0.0
0.94286,0.01026,0.01032,0.94183,0.00051,3.00753,0.79101,7.0983,0.5168,1.48366,0.01489,0.68634,0.39017,0.0,0.10222,0.49209,0.0,0.0,0.0,0.4911,0.0,0.98067,0.0,0.0
0.93571,0.01179,0.00775,0.88323,0.00034,3.92531,0.7907,8.48839,0.5593,0.74764,0.01517,0.62682,0.42768,0.0,0.09077,0.4707,0.0,0.0,0.0,0.36732,0.0,1.0,0.0,0.0
0.94286,0.00908,0.00999,0.95642,0.00049,2.87342,0.8715,8.00585,0.56858,1.46584,0.01496,0.70623,0.41898,0.0,0.09782,0.49338,0.0,0.0,0.0,0.45283,0.0,0.9736,0.0,0.0
0.93929,0.01051,0.01214,0.88278,0.00058,2.17981,0.73707,7.40775,0.56594,1.32921,0.01098,0.64619,0.39211,0.0,0.09686,0.51856,0.0,0.0,0.0,0.43215,0.0,1.0,0.0,0.0
0.94286,0.0088,0.00985,0.91088,0.00058,2.11999,0.7615,7.64015,0.52048,1.54028,0.01098,0.69529,0.38531,0.0,0.10417,0.47725,0.0,0.0,0.0,0.5382,0.0,0.99296,0.0,0.0
0.93571,0.01043,0.00959,0.98,0.00056,3.04697,0.83263,6.60248,0.67847,1.6586,0.01338,0.84721,0.43605,0.0,0.11022,0.47901,0.0,0.0,0.0,0.49101,0.0,0.87568,0.0,0.0
0.93214,0.00912,0.00988,0.9203,0.00058,2.10521,0.71088,7.39983,0.55717,1.74213,0.01098,0.69683,0.40257,0.0,0.10177,0.48457,0.0,0.0,0.0,0.55192,0.0,1.0,0.0,0.0
0.94286,0.00938,0.01195,0.89878,0.00066,2.11699,0.78828,6.08337,0.49676,1.36613,0.01179,0.70778,0.36694,0.0,0.10026,0.47998,0.0,0.0,0.0,0.57262,0.0,1.0,0.0,0.0
0.94286,0.01032,0.00999,0.93712,0.00051,3.03481,0.78014,7.08754,0.51529,1.52363,0.01498,0.70279,0.39144,0.0,0.10119,0.49604,0.0,0.0,0.0,0.48991,0.0,0.99887,0.0,0.0
0.93929,0.01059,0.01023,0.96269,0.00053,3.07698,0.78014,7.0983,0.5168,1.48123,0.01642,0.7,0.37559,0.0,0.0992,0.49731,0.0,0.0,0.0,0.42602,0.0,1.0,0.0,0.0
0.94286,0.01052,0.00878,0.9068,0.00056,3.23422,0.82429,6.90248,0.5593,1.3098,0.01379,0.72233,0.44573,0.0,0.09574,0.47783,0.0,0.0,0.0,0.37538,0.0,1.0,0.0,0.0
0.94643,0.00876,0.00996,0.9121,0.00057,2.11281,0.75668,7.77032,0.51703,1.53216,0.01098,0.69289,0.3752,0.0,0.10476,0.48954,0.0,0.0,0.0,0.55689,0.0,1.0,0.0,0.0
0.94286,0.00902,0.00998,0.91073,0.00057,2.14272,0.7615,7.63475,0.51703,1.56088,0.01121,0.69529,0.38054,0.0,0.10266,0.47613,0.0,0.0,0.0,0.55192,0.0,1.0,0.0,0.0
0.95,0.0068,0.0105,0.8528,0.00063,1.88883,0.87012,7.6597,0.33277,1.52132,0.01244,0.66485,0.34254,0.0,0.10322,0.47998,0.0,0.0,0.0,0.55755,0.0,1.0,0.0,0.0
0.94643,0.01123,0.00999,0.937,0.00046,3.11075,0.76447,5.4293,0.50694,1.74232,0.01709,0.66334,0.39084,0.0,0.08453,0.55531,0.0,0.0,0.0,0.50144,0.0,0.94386,0.0,0.0
0.94643,0.01238,0.01038,0.90633,0.00047,3.10742,0.67868,7.53372,0.6114,1.32852,0.01257,0.67276,0.4289,0.0,0.10806,0.46624,0.0,0.0,0.0,0.48593,0.0,1.0,0.0,0.0
0.95,0.01152,0.01038,0.90451,0.00049,3.02806,0.60056,7.53836,0.61389,1.48955,0.01377,0.65762,0.40003,0.0,0.10204,0.47501,0.0,0.0,0.0,0.48575,0.0,0.97338,0.0,0.0
0.93571,0.01279,0.01006,0.937,0.00051,2.66049,0.80866,7.60823,0.59042,1.13776,0.01335,0.70478,0.38227,0.0,0.10113,0.45959,0.0,0.0,0.0,0.53262,0.0,0.98293,0.0,0.0
0.93571,0.00973,0.00999,0.92084,0.00051,3.26526,0.73758,7.48837,0.49109,1.52132,0.01494,0.73062,0.4038,0.0,0.1011,0.48884,0.0,0.0,0.0,0.4838,0.0,1.0,0.0,0.0
0.95,0.00806,0.01049,0.98,0.00061,3.02806,0.83757,7.25239,0.62994,1.41714,0.01344,0.7,0.34505,0.0,0.1011,0.49731,0.0,0.0,0.0,0.50069,0.0,0.95416,0.0,0.0
0.93214,0.01029,0.01006,0.94805,0.00062,2.88429,0.78014,6.3694,0.54954,1.6125,0.01498,0.69841,0.44656,0.0,0.1011,0.48995,0.0,0.0,0.0,0.55526,0.0,1.0,0.0,0.0
0.93571,0.01017,0.00799,0.8844,0.00047,2.9552,0.79598,7.0983,0.60527,0.85923,0.01498,0.76142,0.44016,0.0,0.1063,0.60367,0.0,0.0,0.0,0.48456,0.0,0.8422,0.0,0.0
0.93214,0.01253,0.01186,0.86326,0.00044,2.51579,0.73676,7.81903,0.62251,1.52969,0.01531,0.6843,0.36666,0.0,0.11029,0.60398,0.0,0.0,0.0,0.50822,0.0,0.98297,0.0,0.0
0.94643,0.00936,0.00955,0.94047,0.00051,3.13493,0.78014,7.74651,0.49947,1.4312,0.01594,0.7,0.39084,0.0,0.10527,0.48131,0.0,0.0,0.0,0.48926,0.0,0.9035,0.0,0.0
0.94286,0.01117,0.00965,0.937,0.00053,2.79984,0.85789,7.85836,0.43856,1.66797,0.01541,0.85897,0.45653,0.0,0.10659,0.49731,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.93571,0.00994,0.00931,0.95797,0.0005,3.06025,0.78014,6.63032,0.5168,1.57197,0.01806,0.69713,0.32665,0.0,0.10092,0.61431,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.95,0.00869,0.00979,0.91088,0.00057,2.12207,0.76233,7.81308,0.51621,1.54181,0.01098,0.69529,0.37539,0.0,0.1021,0.47766,0.0,0.0,0.0,0.55778,0.0,0.98939,0.0,0.0
0.94643,0.01134,0.00741,0.91088,0.00057,2.58356,0.79787,7.83212,0.51703,1.64293,0.01484,0.80353,0.37247,0.0,0.11312,0.36372,0.0,0.0,0.0,0.55192,0.0,1.0,0.0,0.0
0.93929,0.01023,0.00994,0.9391,0.00051,3.016,0.77536,7.04881,0.5168,1.52132,0.01498,0.70366,0.38763,0.0,0.10036,0.48912,0.0,0.0,0.0,0.48464,0.0,0.98518,0.0,0.0
0.94643,0.01086,0.01155,0.91184,0.00044,3.08603,0.83597,8.02427,0.5787,1.72432,0.01567,0.77988,0.43602,0.0,0.12414,0.44537,0.0,0.0,0.0,0.3245,0.0,1.0,0.0,0.0
0.93929,0.00872,0.01169,0.91184,0.00045,3.57297,0.93639,7.82399,0.55709,1.38334,0.01215,0.6996,0.47079,0.0,0.10657,0.39521,0.0,0.0,0.0,0.37969,0.0,1.0,0.0,0.0
0.94286,0.01139,0.01038,0.93245,0.00055,3.02806,0.61728,7.67894,0.58362,1.41681,0.01387,0.65873,0.38761,0.0,0.1011,0.47501,0.0,0.0,0.0,0.48474,0.0,0.99275,0.0,0.0
0.94286,0.01138,0.0104,0.90593,0.00049,3.0273,0.62465,7.6684,0.6208,1.42094,0.01336,0.68839,0.40003,0.0,0.10153,0.47501,0.0,0.0,0.0,0.48835,0.0,1.0,0.0,0.0
0.93929,0.00881,0.00902,0.90633,0.00052,3.13106,0.86699,8.76195,0.58078,1.48086,0.01523,0.65779,0.41093,0.0,0.1011,0.54682,0.0,0.0,0.0,0.47172,0.0,1.0,0.0,0.0
0.94643,0.00854,0.00976,0.88719,0.00062,2.13886,0.86464,6.16257,0.51177,1.48856,0.01028,0.59307,0.4018,0.0,0.11082,0.48057,0.0,0.0,0.0,0.53346,0.0,0.97544,0.0,0.0
0.93929,0.0132,0.01086,0.89325,0.00047,3.17408,0.58777,8.11239,0.62251,1.46684,0.0137,0.76966,0.40236,0.0,0.09785,0.47501,0.0,0.0,0.0,0.47674,0.0,1.0,0.0,0.0
0.93571,0.01145,0.01492,0.89666,0.00067,3.51382,0.93642,6.3988,0.73003,1.44254,0.01481,0.65359,0.42822,0.0,0.11588,0.60676,0.0,0.0,0.0,0.30265,0.0,1.0,0.0,0.0
0.94643,0.00962,0.01014,0.90373,0.00052,3.60251,0.83705,7.93106,0.5593,1.37231,0.01417,0.6996,0.44696,0.0,0.10493,0.48558,0.0,0.0,0.0,0.41874,0.0,0.99676,0.0,0.0
0.95357,0.01029,0.00999,0.91255,0.00058,3.02806,0.88619,7.25132,0.5168,1.52132,0.0131,0.56097,0.41003,0.0,0.09807,0.39689,0.0,0.0,0.0,0.46167,0.0,0.87019,0.0,0.0
0.94643,0.01028,0.01121,0.92691,0.00047,3.34237,0.50261,5.46229,0.67389,1.45775,0.01275,0.68794,0.33709,0.0,0.07062,0.42909,0.0,0.0,0.0,0.34577,0.0,0.79053,0.0,0.0
0.94643,0.01135,0.00868,0.95152,0.00054,4.13907,0.6881,8.29736,0.54857,1.51003,0.01422,0.83549,0.45339,0.0,0.1044,0.4291,0.0,0.0,0.0,0.38712,0.0,1.0,0.0,0.0
0.925,0.01324,0.0113,0.90633,0.00043,3.02806,0.68038,7.67894,0.69478,1.70509,0.01331,0.70853,0.40003,0.0,0.10916,0.52344,0.0,0.0,0.0,0.35513,0.0,1.0,0.0,0.0
0.94286,0.01076,0.01037,0.91865,0.00046,3.02806,0.83597,8.10667,0.44961,1.46225,0.01826,0.74145,0.40445,0.0,0.09864,0.48059,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.95,0.0086,0.00991,0.89989,0.00057,2.1726,0.71111,7.45334,0.51703,1.54107,0.01034,0.71907,0.35651,0.0,0.10322,0.41105,0.0,0.0,0.0,0.55192,0.0,1.0,0.0,0.0
0.93571,0.01117,0.01071,0.9171,0.00047,2.94423,0.64747,7.32233,0.62251,1.41325,0.01331,0.67014,0.41188,0.0,0.1011,0.47456,0.0,0.0,0.0,0.47728,0.0,0.93778,0.0,0.0
0.96071,0.01028,0.01256,0.86301,0.0005,3.70714,0.90446,8.10436,0.54822,1.20789,0.01516,0.69244,0.26343,0.0,0.11567,0.38615,0.0,0.0,0.0,0.45291,0.0,1.0,0.0,0.0
0.94286,0.01034,0.0125,0.87534,0.00052,3.46056,0.78873,7.57182,0.55071,1.08081,0.01516,0.69244,0.26343,0.0,0.11517,0.3801,0.0,0.0,0.0,0.4489,0.0,0.99041,0.0,0.0
0.94286,0.01028,0.01256,0.82375,0.00051,3.96179,0.90446,7.98219,0.54822,0.96466,0.0143,0.88354,0.31932,0.0,0.08822,0.45838,0.0,0.0,0.0,0.51222,0.0,0.7509,0.0,0.0
0.95,0.01013,0.01398,0.86301,0.00049,3.70714,0.84179,8.86615,0.60969,0.71501,0.01556,0.59457,0.24784,0.0,0.12781,0.37506,0.0,0.0,0.0,0.4654,0.0,0.82274,0.0,0.0
0.94286,0.01093,0.01011,0.94785,0.00047,2.89013,0.73282,7.5275,0.52012,1.62673,0.01496,0.7,0.39735,0.0,0.11043,0.49731,0.0,0.0,0.0,0.52456,0.0,0.9005,0.0,0.0
0.94286,0.01016,0.01256,0.85287,0.00053,3.89009,0.89928,8.66263,0.54531,1.20789,0.01519,0.69337,0.27027,0.0,0.11265,0.38944,0.0,0.0,0.0,0.43209,0.0,0.97727,0.0,0.0
0.94643,0.01024,0.01116,0.96038,0.0005,3.15471,0.74622,7.19124,0.52267,1.52132,0.01605,0.7,0.41364,0.0,0.08967,0.49013,0.0,0.0,0.0,0.47913,0.0,0.98949,0.0,0.0
0.95,0.01155,0.01269,0.89306,0.0005,5.0,0.90446,9.71906,0.55265,1.11414,0.01511,0.61009,0.26343,0.0,0.14848,0.24925,0.0,0.0,0.0,0.46171,0.0,0.84968,0.0,0.0
0.96429,0.00937,0.00952,0.96802,0.00043,3.02806,0.95,6.28964,0.62324,1.52132,0.01116,0.7,0.40794,0.0,0.1011,0.49731,0.0,0.0,0.0,0.53851,0.0,1.0,0.0,0.0
0.93571,0.0102,0.00897,0.92505,0.00051,3.19533,0.82599,7.0983,0.45933,1.42216,0.01696,0.71137,0.39084,0.0,0.1011,0.54682,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.93929,0.00765,0.01068,0.98,0.00046,3.02806,0.95,6.28964,0.66346,1.56614,0.01101,0.7,0.36906,0.0,0.09699,0.55556,0.0,0.0,0.0,0.53851,0.0,1.0,0.0,0.0
0.92143,0.01507,0.01093,0.85305,0.00057,3.70714,0.80647,10.51687,0.73531,1.20789,0.01174,0.69244,0.35208,0.0,0.07523,0.36551,0.0,0.0,0.0,0.45291,0.0,0.92349,0.0,0.0
0.94286,0.01078,0.00974,0.94014,0.00034,3.52779,0.95,4.72076,0.5669,1.19528,0.01136,0.7,0.33548,0.0,0.1028,0.5265,0.0,0.0,0.0,0.53851,0.0,1.0,0.0,0.0
0.93214,0.00934,0.00907,0.93306,0.00049,2.6326,0.79896,7.983,0.48409,1.62276,0.01499,0.66251,0.40945,0.0,0.1011,0.53609,0.0,0.0,0.0,0.48926,0.0,1.0,0.0,0.0
0.94286,0.01068,0.00938,0.97752,0.00051,3.48838,0.78014,7.01233,0.54063,1.41829,0.01525,0.75171,0.36239,0.0,0.09146,0.50413,0.0,0.0,0.0,0.50659,0.0,0.97391,0.0,0.0
0.94286,0.00999,0.01489,0.91589,0.00044,4.62158,0.95,8.10436,0.60127,1.0097,0.01774,0.69244,0.26774,0.0,0.10607,0.41526,0.0,0.0,0.0,0.39661,0.0,0.92793,0.0,0.0
0.92857,0.01029,0.00819,0.94728,0.00049,2.71805,0.81323,6.39288,0.54177,1.56578,0.01904,0.63563,0.36033,0.0,0.08238,0.5633,0.0,0.0,0.0,0.45132,0.0,1.0,0.0,0.0
0.94286,0.01042,0.00999,0.98,0.00066,3.19761,0.8955,6.95751,0.66589,1.52132,0.01611,0.79607,0.36045,0.0,0.09354,0.49731,0.0,0.0,0.0,0.38543,0.0,1.0,0.0,0.0
